"AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10","age","gender"
4,4,3,3,5,4,1,3,1,1,5,3,3,5,5,3,1,1,1,2,5,5,5,5,0,1,2,4,0,3,1,1,3,1,3,2,5,4,2,1,29,2
4,3,4,4,3,2,3,3,4,3,4,4,2,4,4,3,2,2,4,3,2,4,4,3,4,4,4,4,3,4,4,4,3,2,3,2,3,3,2,2,49,2
5,4,4,5,3,3,2,2,1,1,4,4,5,5,4,3,1,2,2,1,4,4,4,4,3,3,2,2,2,2,4,3,3,3,3,4,4,5,2,3,52,1
4,3,3,2,3,3,4,3,4,1,2,2,2,4,2,5,3,4,4,1,4,5,5,4,3,3,2,2,1,4,3,3,3,3,4,4,4,5,3,1,34,2
4,4,4,4,4,3,2,1,2,0,2,3,5,4,4,3,2,4,3,2,4,5,5,5,2,2,2,2,2,2,4,4,4,3,4,3,5,5,4,4,52,2
3,4,4,3,3,3,3,2,3,3,3,3,2,3,2,3,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,27,2
4,5,4,3,4,3,2,2,1,1,5,2,2,4,3,2,1,1,1,1,3,4,4,2,4,3,3,4,1,2,2,1,4,2,2,2,2,4,1,1,46,2
5,5,5,5,5,5,2,2,1,1,4,2,5,5,5,0,1,2,2,1,4,5,5,5,2,2,2,2,1,2,4,4,4,4,4,2,4,4,4,4,42,2
3,4,3,3,4,3,2,2,2,2,4,4,2,3,3,2,3,2,3,3,4,3,3,4,2,2,2,3,2,2,4,3,4,3,4,4,4,3,3,2,31,2
3,4,4,4,3,4,2,3,3,2,2,2,2,2,2,4,4,4,4,1,2,2,5,4,2,4,3,3,1,2,3,3,4,2,4,2,3,5,2,2,29,1
4,2,4,4,3,4,4,4,2,2,4,2,4,4,3,4,2,3,5,3,3,4,4,4,3,3,3,4,2,3,3,2,4,2,5,2,4,5,2,2,31,2
5,2,4,4,2,4,2,2,1,1,5,5,5,5,3,1,1,1,1,1,4,5,5,4,4,2,2,3,1,2,4,4,4,3,4,2,4,5,2,2,55,1
4,5,5,4,4,5,2,2,2,3,4,4,5,3,3,4,3,2,2,2,2,4,5,4,4,3,2,4,4,4,2,4,3,2,2,3,1,2,3,1,43,2
5,4,3,4,3,4,2,2,1,1,5,3,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
4,3,3,4,4,4,2,3,1,1,5,5,5,4,4,1,2,1,2,1,1,5,5,5,1,1,1,1,1,1,4,3,4,2,4,3,5,4,2,1,24,1
4,4,3,3,4,4,2,2,2,1,4,3,3,4,3,2,1,1,1,1,5,5,5,5,1,2,2,1,3,1,3,2,2,1,1,2,4,4,1,1,59,2
3,4,4,4,3,4,3,3,1,2,4,5,2,3,3,2,2,2,2,1,4,5,5,4,2,3,3,3,1,2,4,4,3,4,4,3,3,3,1,2,25,2
4,5,3,3,3,4,3,3,2,2,4,3,5,3,2,2,2,2,4,1,3,5,5,5,4,3,2,4,1,2,3,4,3,3,2,2,4,4,2,2,31,2
4,4,4,4,4,4,2,3,1,2,4,4,3,4,4,2,2,2,3,2,4,5,5,4,3,2,1,2,1,2,4,4,2,2,3,2,4,4,2,4,52,2
4,3,2,2,4,4,4,3,4,3,2,2,2,4,2,4,3,4,4,2,4,4,4,3,4,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,47,2
5,5,4,5,4,5,3,3,1,1,4,4,4,5,5,3,1,3,3,1,5,5,5,5,2,2,2,3,1,2,4,4,4,4,4,4,4,5,3,4,50,2
2,2,2,4,2,1,4,4,2,2,5,2,3,2,4,5,2,1,5,4,3,4,5,5,2,5,2,4,1,3,3,3,3,2,1,1,5,4,2,2,25,2
5,4,5,4,5,5,1,1,1,1,2,1,1,5,3,4,2,3,4,1,5,5,5,5,3,2,1,3,1,1,5,5,5,4,5,4,4,5,3,4,33,1
3,4,4,2,4,4,3,3,2,2,2,2,2,3,2,4,3,4,3,2,3,5,4,4,2,2,2,4,1,2,3,3,4,3,4,2,3,3,4,3,31,2
5,5,4,5,4,4,2,4,2,1,5,4,4,5,5,4,5,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,3,4,3,2,4,4,4,4,44,1
1,1,1,3,1,1,3,3,5,1,2,1,1,1,1,5,5,5,5,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,25,1
5,5,5,4,5,5,2,4,1,1,5,4,2,5,4,1,1,1,1,1,5,5,5,5,2,2,2,1,1,1,4,5,4,2,0,4,3,3,2,3,49,2
4,3,3,4,4,3,4,3,4,2,2,2,3,4,3,4,4,4,4,4,3,4,2,3,4,3,3,4,3,4,3,3,3,2,3,2,4,4,2,2,49,1
2,3,3,3,4,2,2,4,3,2,4,2,3,2,3,3,2,2,4,2,3,4,5,3,3,2,2,2,2,2,4,3,4,1,2,2,4,4,3,1,23,1
4,4,4,5,4,4,2,4,2,1,4,4,4,4,5,2,1,2,2,1,4,5,5,4,3,2,2,2,2,2,3,2,2,2,2,2,3,2,1,1,40,1
2,4,4,4,4,4,2,2,1,1,3,2,2,3,3,2,2,4,4,1,3,4,5,5,4,2,1,3,2,2,5,5,4,3,4,4,3,3,3,3,23,1
2,4,4,4,4,4,1,1,1,1,1,3,3,2,4,3,1,5,3,4,4,5,5,5,1,1,1,1,1,1,5,5,5,2,5,4,4,4,2,1,20,1
4,3,3,4,3,3,3,3,2,1,4,3,4,4,4,3,2,2,3,2,5,4,5,5,2,2,2,2,2,2,3,3,2,2,2,2,4,4,2,2,60,1
2,3,3,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
5,4,2,5,2,4,4,4,1,2,4,4,1,5,4,2,2,2,2,2,4,5,5,4,2,2,2,2,2,1,4,2,2,4,4,4,4,4,4,1,24,1
5,5,5,3,5,5,1,1,1,1,2,1,2,5,3,5,1,4,5,1,4,3,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,39,2
2,4,3,5,2,3,4,2,1,2,3,4,2,2,2,2,1,4,2,1,2,4,3,5,3,2,1,4,2,4,4,3,4,4,5,3,2,4,3,4,32,1
4,3,5,3,2,4,3,3,2,2,4,4,4,4,3,1,1,1,1,1,3,5,5,4,3,1,1,1,1,3,3,1,4,4,3,3,2,2,2,1,50,2
4,4,3,2,2,4,4,1,2,1,3,4,5,4,2,2,4,5,4,2,4,4,3,4,2,2,2,4,1,2,4,4,4,4,4,5,4,5,2,3,23,1
4,4,2,3,4,4,3,3,1,1,5,5,5,4,4,1,1,1,1,1,5,4,5,4,2,2,2,3,3,2,3,4,3,3,3,4,2,3,2,1,17,1
2,2,2,4,2,3,4,4,4,2,2,2,2,2,2,4,2,4,2,4,4,5,4,5,2,2,3,2,2,2,4,4,3,2,2,2,2,2,2,2,29,2
5,4,4,5,3,4,2,2,4,2,4,4,4,5,5,1,1,2,2,1,4,4,4,4,1,1,1,1,1,1,4,4,4,3,3,3,4,4,2,3,54,2
3,4,4,3,4,5,3,4,1,1,4,3,3,3,4,3,2,1,3,1,2,5,5,5,3,1,5,4,4,2,3,3,3,2,3,3,5,4,4,4,29,2
4,4,5,3,4,4,2,2,1,4,2,0,2,3,3,4,2,2,4,3,2,4,3,3,4,3,3,5,3,4,3,2,3,2,3,2,3,3,2,1,26,2
2,3,3,3,1,2,4,2,3,2,2,2,1,2,3,4,3,4,4,1,2,3,5,3,4,4,4,3,1,1,3,2,4,3,2,5,3,2,3,3,27,1
4,4,4,4,3,4,3,2,2,2,4,4,4,3,3,3,3,2,4,2,3,4,4,4,3,3,2,3,2,2,4,4,2,2,4,4,3,4,3,2,27,1
3,3,2,4,3,3,4,3,1,2,3,2,1,3,3,4,2,3,4,2,3,4,4,4,4,3,2,3,2,2,3,3,3,2,2,2,4,3,2,2,36,1
2,5,2,3,2,3,3,4,1,2,5,5,4,2,4,1,2,2,2,3,4,5,5,4,2,1,1,4,1,2,5,4,4,3,4,2,2,2,1,2,35,1
2,2,2,3,3,4,4,4,1,2,4,2,1,2,2,3,2,2,4,1,4,4,5,4,4,4,2,4,2,2,4,4,2,2,4,4,2,2,1,2,33,2
5,5,4,4,5,5,2,2,1,1,4,4,5,5,4,2,2,3,3,1,2,5,5,4,4,1,1,4,2,4,5,4,3,2,3,2,5,5,1,3,21,1
4,3,3,4,4,2,4,4,1,2,5,5,4,4,4,1,1,1,2,2,3,4,4,4,4,2,2,4,4,4,4,4,2,2,2,4,2,2,1,1,38,1
4,4,4,3,4,4,1,2,1,2,4,4,4,4,3,2,2,2,2,1,4,5,4,4,4,2,2,3,1,2,3,3,4,4,4,3,4,4,4,4,28,2
3,4,3,4,3,3,2,2,2,2,3,2,4,3,4,2,2,3,3,2,3,4,5,5,3,2,2,4,2,2,4,3,2,2,3,2,3,4,3,2,22,1
4,3,5,4,4,3,2,1,1,1,5,5,3,4,5,1,1,1,3,1,5,5,5,5,3,1,1,3,1,1,5,5,5,1,4,1,5,5,4,1,39,1
2,4,4,4,4,4,2,2,2,1,3,4,4,2,3,3,3,3,2,3,4,3,4,4,3,1,1,1,1,1,3,3,3,3,3,3,4,4,3,3,29,1
4,4,4,5,3,4,2,3,4,1,3,5,5,4,4,1,2,3,2,2,5,5,4,4,3,3,3,2,1,2,5,5,3,1,2,4,2,3,2,1,37,1
4,4,4,4,2,3,3,3,1,1,2,1,2,4,4,5,2,4,5,1,5,3,4,5,2,3,3,2,4,2,4,4,2,2,2,2,2,2,2,3,48,1
3,3,4,5,4,3,2,3,2,2,5,4,3,3,5,2,1,2,2,2,4,4,5,5,2,1,1,2,1,2,3,3,2,2,2,3,2,4,2,2,24,1
5,4,4,4,4,3,2,5,3,4,3,4,3,5,3,4,2,3,4,2,4,5,5,5,4,2,1,3,1,4,2,3,3,2,3,2,4,3,1,3,51,2
4,4,4,4,2,4,2,1,2,1,4,5,5,4,4,2,1,2,2,2,4,5,5,2,1,2,1,2,2,2,4,4,4,2,4,4,4,5,2,4,43,1
4,3,3,3,5,4,3,4,4,1,5,5,2,4,2,2,3,2,2,1,4,5,5,5,2,1,1,4,1,1,4,5,4,2,2,1,2,4,5,3,27,2
4,4,4,4,3,4,2,2,1,1,4,4,4,4,4,2,1,2,2,1,4,5,5,5,4,3,3,4,3,5,5,5,5,5,3,4,4,5,4,4,46,1
3,4,3,4,4,4,3,2,2,1,3,4,4,3,4,3,2,3,4,4,3,5,5,4,3,3,2,3,2,4,4,4,4,4,4,3,3,4,4,3,42,2
4,4,4,4,4,3,3,4,3,2,4,3,2,4,3,3,3,4,4,2,5,5,5,5,3,2,2,2,2,2,3,3,3,2,4,3,4,3,3,4,34,2
4,4,2,5,4,3,4,4,4,2,3,2,3,5,4,4,2,4,4,3,5,5,5,5,3,2,2,3,1,2,4,3,4,4,4,1,4,4,1,2,23,2
5,0,3,5,3,4,1,3,2,1,4,5,5,5,5,2,1,1,2,1,5,5,5,5,2,1,1,3,1,1,3,3,3,3,2,3,4,5,2,2,41,1
5,4,4,4,4,3,3,3,2,1,5,4,5,5,4,2,2,1,2,1,5,5,5,5,2,2,1,2,1,3,2,2,4,3,3,4,5,4,3,3,48,1
4,2,4,2,2,4,4,2,1,2,5,2,2,4,2,4,4,2,4,1,5,5,5,5,2,1,1,4,4,2,4,4,4,4,5,2,2,4,2,2,26,2
4,1,3,3,3,4,4,3,2,1,3,2,3,4,3,4,3,3,4,4,2,4,5,4,3,5,3,4,2,1,1,4,3,2,5,4,3,5,3,2,30,1
4,2,2,4,2,3,3,3,2,2,4,2,1,4,2,4,3,2,4,2,4,4,4,4,3,2,2,3,1,2,2,2,4,3,4,3,3,3,2,2,44,2
5,2,2,4,2,2,3,2,3,3,4,4,1,5,4,2,0,2,2,1,4,5,5,5,1,1,1,1,1,1,3,2,4,2,3,3,2,5,2,3,29,2
5,4,3,3,4,0,2,4,4,2,5,4,4,4,4,1,1,2,2,2,4,5,5,4,3,3,4,2,5,2,4,4,3,2,3,2,3,2,2,2,45,2
3,4,2,2,5,4,4,4,1,2,5,2,1,3,4,2,2,2,3,2,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,30,2
5,5,5,5,5,5,1,2,1,1,5,4,5,4,3,1,3,3,1,1,5,4,4,3,2,2,1,1,1,1,5,5,4,1,5,5,5,5,3,2,49,1
5,4,3,3,2,2,2,2,1,1,5,5,5,5,3,1,3,2,2,1,4,4,5,3,4,3,1,2,1,2,3,3,4,3,5,3,5,5,2,2,26,1
2,3,2,2,4,3,3,4,4,4,5,2,2,4,3,4,2,3,4,4,2,4,4,4,4,2,2,2,2,1,4,3,2,2,4,3,2,2,3,2,40,1
5,4,3,3,3,4,3,4,4,1,4,5,5,5,5,1,2,2,1,2,3,3,5,5,3,2,1,1,1,1,1,1,1,1,5,3,4,4,2,2,32,2
4,3,4,2,2,4,4,4,1,1,3,4,2,4,2,2,2,4,3,4,2,3,4,5,5,3,4,4,2,5,5,4,5,4,5,2,5,4,5,4,20,1
5,4,5,4,5,4,1,2,1,1,5,5,5,5,4,1,2,1,1,1,5,5,5,5,4,3,3,3,1,1,5,5,3,3,5,2,5,5,1,3,23,1
4,2,2,3,3,3,4,4,3,3,4,4,3,4,3,3,2,2,4,4,4,4,4,4,4,3,3,2,2,4,2,2,3,3,2,2,4,4,3,3,56,1
4,3,3,4,3,2,3,2,3,2,5,5,4,4,4,1,3,2,2,1,4,3,4,4,3,3,3,4,1,3,4,4,4,4,4,3,4,3,2,3,42,1
4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,2,2,2,4,2,4,5,4,4,3,2,2,4,1,2,3,3,4,4,4,3,4,4,3,4,28,1
4,2,3,4,2,3,4,2,4,2,4,4,4,4,4,2,2,2,2,2,2,2,4,3,4,3,2,4,2,2,1,1,2,2,4,2,4,4,2,3,40,2
2,2,2,4,3,3,3,4,1,2,4,2,3,4,2,4,2,2,4,2,4,4,4,3,3,2,2,4,2,2,3,2,2,2,2,2,2,4,1,1,28,2
4,3,2,3,4,4,3,2,1,1,3,2,2,4,3,3,3,2,4,2,3,4,5,5,3,3,5,4,1,1,4,2,3,4,4,2,4,5,3,3,20,2
4,3,4,5,4,5,3,4,2,1,4,4,5,4,4,2,1,3,4,2,5,5,5,5,4,2,2,2,1,1,3,3,4,3,3,3,4,5,2,2,43,1
4,5,4,3,4,4,2,2,1,4,5,5,3,5,4,1,3,2,1,2,5,4,4,5,2,1,1,2,3,2,5,4,2,3,4,4,4,3,4,2,21,1
4,5,3,4,2,4,3,3,1,1,4,4,3,4,4,2,2,2,3,2,3,5,5,5,3,4,3,3,3,2,4,4,3,2,3,3,4,3,2,2,37,1
4,3,5,4,4,4,3,2,3,1,5,4,5,4,4,3,2,2,2,1,4,5,5,5,3,3,2,3,1,3,4,5,5,4,5,4,5,5,4,4,26,2
3,2,2,3,2,4,4,3,2,5,4,2,1,3,3,3,2,2,4,4,3,4,5,3,3,2,2,2,2,2,3,2,2,1,2,2,3,3,2,1,30,2
4,4,3,4,4,4,1,1,1,1,4,2,4,4,3,4,2,1,2,2,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,22,1
4,4,3,3,4,4,2,4,2,5,4,4,1,4,2,3,2,2,4,4,3,5,5,5,2,2,2,3,2,1,4,2,2,1,2,1,4,3,1,1,30,2
4,5,4,5,4,4,2,3,1,1,4,2,2,4,4,5,1,1,4,2,2,4,2,4,1,1,1,2,5,1,5,5,4,3,4,2,4,4,4,4,23,1
4,5,4,3,4,4,1,4,1,1,2,2,2,3,3,3,3,2,3,1,5,5,5,5,1,1,1,1,1,1,5,5,4,5,5,1,5,5,3,5,32,1
4,4,4,3,3,3,0,2,2,2,5,2,4,4,4,4,2,1,4,2,4,4,4,3,2,2,2,2,2,1,3,2,3,1,3,2,2,2,1,1,52,2
5,4,4,4,4,4,2,2,2,1,4,4,2,5,2,2,2,2,4,2,4,4,4,4,2,2,2,4,4,2,3,2,2,2,4,2,2,2,2,2,51,2
4,4,4,4,4,3,3,3,2,1,5,5,3,4,3,1,1,1,1,1,4,5,5,5,3,3,4,4,1,4,4,4,3,3,4,4,4,4,2,3,35,2
5,5,5,5,5,5,2,3,1,2,5,5,5,5,5,3,1,1,3,2,4,4,5,5,3,3,3,3,3,1,5,5,4,2,3,3,5,5,3,3,19,1
5,3,3,4,3,3,3,3,2,1,4,4,3,5,3,2,1,2,3,1,3,5,5,4,2,4,4,4,2,1,1,3,3,2,4,2,4,5,2,2,43,1
3,3,2,4,3,4,3,3,1,1,4,4,3,3,4,2,2,2,3,3,5,5,5,5,3,2,1,3,1,1,4,4,4,2,4,3,4,4,3,2,24,1
4,3,4,3,2,2,3,2,2,1,2,3,4,4,3,4,2,4,3,2,5,5,5,5,2,2,2,1,2,2,4,4,3,2,3,3,3,4,2,2,25,2
4,4,3,4,3,4,2,2,3,2,4,2,1,4,4,4,2,2,4,3,4,5,5,4,2,2,2,3,1,3,3,2,4,3,3,2,2,3,2,1,36,2
4,3,4,4,4,0,3,2,1,2,4,0,2,4,5,3,2,3,2,2,5,5,5,5,3,2,1,3,1,1,3,4,4,3,4,3,2,2,2,2,40,2
4,2,3,3,4,3,3,4,1,1,4,3,4,4,4,3,2,2,4,2,4,4,4,4,2,2,2,2,1,2,3,3,3,1,4,2,4,5,3,2,48,2
5,4,5,4,4,5,1,2,2,5,3,3,4,5,4,3,2,4,2,2,4,5,5,4,2,4,5,2,2,2,4,3,4,3,5,3,4,4,3,3,63,1
3,4,4,3,4,3,3,4,2,1,3,3,2,3,2,3,3,3,3,3,5,4,5,5,3,2,1,4,2,3,5,5,5,5,4,3,3,3,3,4,31,1
4,5,4,3,2,4,4,4,1,2,5,2,4,2,3,3,2,2,4,1,2,4,5,4,2,2,1,4,1,2,5,5,5,4,4,4,4,4,1,1,25,1
3,4,4,4,3,3,4,4,1,2,4,2,5,5,5,3,4,2,2,2,3,2,4,4,3,3,3,4,2,5,4,4,3,4,4,4,5,5,4,4,24,1
4,4,4,4,4,4,3,4,2,1,4,3,2,4,4,2,2,2,2,2,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,2,4,4,3,2,46,2
5,5,5,4,4,5,1,2,2,1,4,5,4,5,4,1,3,3,1,1,4,2,4,5,4,2,2,3,2,1,3,2,5,4,5,4,4,5,4,5,28,1
3,4,4,3,4,4,3,3,2,2,3,2,2,2,2,4,4,4,4,3,4,4,4,4,2,2,2,3,2,2,4,4,4,3,4,3,4,4,2,2,28,2
5,4,5,5,5,5,2,2,1,1,5,4,3,4,4,2,1,1,3,2,4,5,5,2,2,2,2,4,2,4,3,3,4,5,4,4,4,4,3,4,30,1
5,3,3,5,4,3,3,2,2,1,5,4,4,4,4,2,2,1,2,2,4,5,5,4,3,2,2,3,1,2,3,3,3,3,3,4,4,4,3,3,45,1
5,5,5,5,5,4,3,2,1,1,5,5,5,5,5,1,1,2,3,1,3,4,4,4,2,1,1,3,1,3,3,2,4,2,2,2,4,4,1,1,64,1
2,2,1,4,2,2,4,4,4,2,1,2,2,3,4,3,2,4,3,2,3,2,5,2,2,3,2,3,4,2,4,4,4,2,3,4,2,4,2,2,19,2
3,4,5,3,4,5,1,2,1,1,3,3,3,3,3,4,3,2,3,1,5,4,4,4,1,1,1,1,2,1,5,5,4,3,3,3,4,4,3,2,24,2
4,4,4,4,2,4,3,3,5,3,5,5,4,4,4,2,2,2,2,3,4,4,4,4,4,3,3,2,3,3,5,4,2,2,2,3,4,3,3,2,27,1
4,4,4,4,4,4,2,2,2,2,4,4,3,4,4,3,4,2,3,2,4,4,4,4,3,2,2,2,2,2,3,3,4,3,3,3,4,4,3,2,29,1
5,4,5,4,5,5,1,2,1,1,5,4,4,5,3,1,2,1,1,1,3,5,5,5,1,1,1,4,1,3,4,4,4,4,5,4,4,3,5,4,35,1
4,3,3,5,3,2,3,4,2,1,2,3,4,4,5,3,2,4,3,3,4,4,2,4,3,2,1,3,4,2,2,1,2,1,1,3,1,4,1,1,36,2
3,2,2,3,2,2,3,2,2,2,4,3,2,3,3,2,3,2,3,2,4,4,4,4,3,3,2,3,2,3,3,3,2,2,4,2,4,4,2,2,26,2
5,4,2,4,3,3,3,2,3,1,5,5,4,5,4,2,2,2,2,3,5,5,5,5,2,2,2,2,3,1,4,4,3,2,1,2,2,2,2,2,40,2
4,4,3,4,3,4,2,2,1,2,4,3,1,4,4,3,2,2,3,1,5,4,5,4,2,2,2,3,1,2,4,3,3,2,4,2,4,5,2,2,40,2
3,3,3,4,3,3,3,2,1,2,2,2,1,3,4,3,1,4,5,3,3,5,5,5,4,3,2,3,1,3,4,4,3,1,2,1,1,2,1,1,25,2
4,3,3,4,3,3,3,3,1,1,3,3,1,4,3,3,2,3,4,3,4,5,3,3,3,3,3,3,1,3,1,1,3,3,3,2,4,3,3,2,46,2
3,3,4,4,3,4,2,3,1,1,3,2,1,3,3,5,2,2,4,3,5,5,5,5,3,2,2,1,1,2,4,4,4,4,4,3,3,4,2,2,28,2
4,4,3,4,4,4,2,1,1,0,4,2,4,5,4,2,0,2,4,1,1,1,1,1,4,2,2,2,4,2,3,3,3,3,4,4,4,4,3,3,44,1
4,1,1,4,3,2,4,3,5,1,2,2,4,4,4,4,2,4,4,4,3,5,5,4,4,3,3,4,2,2,3,2,4,2,2,2,4,4,1,2,39,1
3,4,3,4,3,3,4,3,2,5,4,4,3,3,4,2,2,2,3,2,5,4,4,4,3,3,2,3,2,1,3,2,4,3,4,3,4,4,3,2,37,1
3,4,4,4,5,4,1,3,2,4,3,3,3,2,4,3,2,3,4,3,4,5,5,4,1,2,2,3,2,1,3,4,3,2,3,2,3,3,3,1,27,1
5,4,4,3,4,4,2,2,3,2,5,5,4,5,4,2,2,2,3,1,4,4,5,3,3,3,2,2,2,1,3,3,3,3,4,4,3,4,3,2,53,1
3,3,5,4,3,3,3,3,1,1,4,4,4,4,3,3,2,3,2,3,4,4,4,4,2,2,2,4,2,2,4,3,2,1,1,1,1,1,1,1,45,1
2,4,3,3,4,3,3,2,1,2,2,1,4,3,3,5,2,4,4,2,3,4,4,4,2,2,2,2,1,1,3,3,3,2,2,1,3,4,1,1,20,2
5,3,2,4,4,5,4,2,3,2,4,5,4,4,5,3,2,2,2,2,4,5,2,5,4,3,4,4,2,4,2,2,2,2,2,4,2,2,2,2,38,2
5,5,4,4,3,5,3,2,2,4,4,4,3,5,4,3,2,2,4,2,5,5,5,5,1,2,2,2,4,1,3,4,3,3,4,4,3,4,3,4,37,1
4,4,3,5,4,4,2,2,1,2,4,4,5,4,4,2,2,2,3,2,4,5,4,4,2,2,2,2,1,2,4,4,4,4,4,4,4,4,2,2,35,1
5,5,2,5,3,4,5,1,3,5,5,5,5,4,4,1,1,1,2,1,5,5,5,3,5,3,2,4,1,3,1,1,3,2,5,2,5,4,3,3,40,2
3,3,2,3,3,3,3,4,5,3,4,2,2,3,2,4,3,2,4,3,4,5,4,3,3,2,2,2,2,2,4,3,3,2,3,2,3,4,3,2,41,1
5,2,4,4,5,4,1,1,1,1,5,4,5,4,4,1,1,1,2,1,5,5,5,4,2,1,1,1,2,1,4,3,4,3,5,1,4,4,2,2,43,0
3,2,2,3,2,3,3,4,2,2,4,2,2,2,2,4,4,2,4,4,5,5,5,3,3,1,1,1,1,2,4,4,3,2,2,3,3,3,2,2,41,1
